
Loaded base model.
Loaded base model.
Epoch: [0][0/2069]	Batch Time 13.771 (13.771)	Data Time 0.910 (0.910)	Loss 23.8319 (23.8319)	
Epoch: [0][200/2069]	Batch Time 0.082 (0.156)	Data Time 0.000 (0.005)	Loss 6.5527 (10.1377)	
Epoch: [0][400/2069]	Batch Time 0.086 (0.121)	Data Time 0.000 (0.003)	Loss 5.7424 (8.2300)	
Epoch: [0][600/2069]	Batch Time 0.080 (0.109)	Data Time 0.000 (0.002)	Loss 5.4803 (7.5186)	
Epoch: [0][800/2069]	Batch Time 0.082 (0.103)	Data Time 0.000 (0.001)	Loss 5.2166 (7.1418)	
Epoch: [0][1000/2069]	Batch Time 0.083 (0.099)	Data Time 0.000 (0.001)	Loss 6.4707 (6.8871)	
Epoch: [0][1200/2069]	Batch Time 0.080 (0.097)	Data Time 0.000 (0.001)	Loss 5.8463 (6.7066)	
Epoch: [0][1400/2069]	Batch Time 0.087 (0.095)	Data Time 0.000 (0.001)	Loss 5.5309 (6.5519)	
Epoch: [0][1600/2069]	Batch Time 0.080 (0.093)	Data Time 0.000 (0.001)	Loss 5.2727 (6.4330)	
Epoch: [0][1800/2069]	Batch Time 0.081 (0.092)	Data Time 0.000 (0.001)	Loss 5.0738 (6.3141)	
Epoch: [0][2000/2069]	Batch Time 0.083 (0.092)	Data Time 0.000 (0.001)	Loss 5.3035 (6.2167)	










































